date_id	team_1	team_2	winner
20170103	NZ	BAN	1
20170106	NZ	BAN	1
20170108	NZ	BAN	1
20170114	HK	SCO	2
20170114	AFG	IRE	1
20170115	NET	OMA	1
20170116	HK	OMA	2
20170116	UAE	AFG	2
20170117	NET	SCO	2
20170118	UAE	IRE	2
20170118	HK	NET	1
20170119	OMA	SCO	2
20170120	SA	SL	1
20170120	AFG	OMA	1
20170120	IRE	SCO	1
20170120	AFG	IRE	1
20170122	SA	SL	2
20170125	SA	SL	2
20170126	IND	ENG	2
20170129	IND	ENG	1
20170201	IND	ENG	1
20170217	AUS	SL	2
20170217	NZ	SA	2
20170219	AUS	SL	2
20170222	AUS	SL	1
20170308	AFG	IRE	1
20170310	AFG	IRE	1
20170312	AFG	IRE	1
20170326	WI	PAK	2
20170330	WI	PAK	2
20170401	WI	PAK	1
20170402	WI	PAK	2
20170404	SL	BAN	1
20170406	SL	BAN	2
20170412	UAE	PNG	1
20170414	UAE	PNG	1
20170414	UAE	PNG	1
20170602	WI	AFG	1
20170603	WI	AFG	1
20170605	WI	AFG	1
20170621	ENG	SA	1
20170623	ENG	SA	2
20170625	ENG	SA	1
20170709	WI	IND	1
20170906	SL	IND	2
20170912	PAK	IWX	1
20170913	PAK	IWX	2
20170915	PAK	IWX	1
20170916	ENG	WI	2
20171007	IND	AUS	1
20171010	IND	AUS	2
20171013	IND	AUS	0
20171026	PAK	SL	1
20171026	SA	BAN	1
20171027	PAK	SL	1
20171029	SA	BAN	1
20171029	PAK	SL	1
20171101	IND	NZ	1
20171104	IND	NZ	2
20171107	IND	NZ	1
20171220	IND	SL	1
20171222	IND	SL	1
20171224	IND	SL	1
20171229	NZ	WI	1
