match_no,team_1,team_2,date,o1,o2,p1
13,SA,AUS,23-Oct,,,0
14,ENG,WI,23-Oct,0.67,1.45,0.69
15,SL,BAN,24-Oct,0.91,1.1,0.55
16,IND,PAK,24-Oct,0.53,1.75,0.77
17,AFG,SCO,25-Oct,0.33,2.75,0.89
18,SA,WI,26-Oct,,,
19,PAK,NZ,26-Oct,,,
20,ENG,BAN,27-Oct,,,
21,SCO,NAM,27-Oct,,,
22,AUS,SL,28-Oct,,,
23,WI,BAN,29-Oct,,,
24,AFG,PAK,29-Oct,,,
25,SA,SL,30-Oct,,,
26,ENG,AUS,30-Oct,,,
27,AFG,NAM,31-Oct,,,
28,IND,NZ,31-Oct,,,
29,ENG,SL,01-Nov,,,
30,SA,BAN,02-Nov,,,
31,PAK,NAM,02-Nov,,,
32,NZ,SCO,03-Nov,,,
33,IND,AFG,03-Nov,,,
34,AUS,BAN,04-Nov,,,
35,WI,SL,04-Nov,,,
36,NZ,NAM,05-Nov,,,
37,IND,SCO,05-Nov,,,
38,AUS,WI,06-Nov,,,
39,ENG,SA,06-Nov,,,
40,NZ,AFG,07-Nov,,,
41,PAK,SCO,07-Nov,,,
42,IND,NAM,08-Nov,,,
