date_id	team_1	team_2	winner
20140111	NZ	WI	1
20140115	NZ	WI	1
20140129	AUS	ENG	1
20140131	AUS	ENG	1
20140202	AUS	ENG	1
20140212	BAN	SL	2
20140214	BAN	SL	2
20140219	WI	IRE	2
20140221	WI	IRE	1
20140309	SA	AUS	0
20140309	WI	ENG	1
20140311	WI	ENG	1
20140312	SA	AUS	2
20140313	WI	ENG	2
20140314	SA	AUS	2
20140316	BAN	AFG	1
20140316	HK	NEP	2
20140317	IRE	ZIM	1
20140317	NET	UAE	1
20140318	AFG	HK	1
20140318	BAN	NEP	1
20140319	NET	ZIM	2
20140319	IRE	UAE	1
20140320	AFG	NEP	2
20140320	BAN	HK	2
20140320	UAE	ZIM	2
20140321	IRE	NET	2
20140321	IND	PAK	1
20140322	SA	SL	2
20140322	ENG	NZ	2
20140323	AUS	PAK	2
20140323	IND	WI	1
20140324	NZ	SA	2
20140324	NET	SL	2
20140325	BAN	WI	2
20140327	NET	SA	2
20140327	ENG	SL	1
20140328	AUS	WI	2
20140328	BAN	IND	2
20140329	NET	NZ	2
20140329	ENG	SA	2
20140330	BAN	PAK	2
20140330	AUS	IND	2
20140331	ENG	NET	2
20140331	NZ	SL	2
20140401	BAN	AUS	2
20140401	PAK	WI	2
20140403	SL	WI	1
20140404	IND	SA	1
20140406	IND	SL	2
20140520	ENG	SL	2
20140705	WI	NZ	2
20140706	WI	NZ	1
20140827	WI	BAN	0
20140907	ENG	IND	1
20141005	PAK	AUS	2
20141105	AUS	SA	2
20141107	AUS	SA	1
20141109	AUS	SA	1
20141119	HK	NEP	0
20141121	HK	NEP	0
20141122	HK	NEP	0
20141124	HK	NEP	1
20141204	PAK	NZ	1
20141205	PAK	NZ	2
