date_id	team_1	team_2	winner
20120201	AUS	IND	1
20120203	AUS	IND	2
20120211	NZ	ZIM	1
20120214	NZ	ZIM	1
20120217	NZ	SA	1
20120219	NZ	SA	2
20120222	KEN	IRE	2
20120222	NZ	SA	2
20120223	PAK	ENG	1
20120223	KEN	IRE	2
20120224	KEN	IRE	2
20120225	PAK	ENG	2
20120227	PAK	ENG	2
20120313	CAN	NET	2
20120313	KEN	SCO	2
20120314	IRE	KEN	1
20120314	AFG	NET	1
20120318	AFG	CAN	1
20120318	IRE	SCO	1
20120322	CAN	IRE	2
20120322	NET	SCO	1
20120323	IRE	NET	1
20120323	CAN	SCO	2
20120324	AFG	IRE	2
20120327	WI	AUS	2
20120330	SA	IND	1
20120330	WI	AUS	1
20120601	SL	PAK	1
20120603	SL	PAK	2
20120624	ENG	WI	1
20120630	WI	NZ	1
20120701	WI	NZ	1
20120718	IRE	BAN	2
20120720	IRE	BAN	2
20120721	IRE	BAN	2
20120724	BAN	SCO	2
20120725	NET	BAN	2
20120726	NET	BAN	1
20120807	SL	IND	2
20120905	PAK	AUS	1
20120907	PAK	AUS	1
20120908	ENG	SA	2
20120908	IND	NZ	0
20120910	ENG	SA	0
20120910	PAK	AUS	2
20120911	IND	NZ	2
20120912	ENG	SA	1
20120918	SL	ZIM	1
20120919	AUS	IRE	1
20120919	AFG	IND	2
20120920	SA	ZIM	1
20120921	BAN	NZ	2
20120921	AFG	ENG	2
20120922	SL	SA	2
20120922	AUS	WI	1
20120923	NZ	PAK	2
20120923	ENG	IND	2
20120924	IRE	WI	0
20120925	BAN	PAK	2
20120927	SL	NZ	1
20120927	ENG	WI	2
20120928	PAK	SA	1
20120928	AUS	IND	1
20120929	ENG	NZ	1
20120929	SL	WI	1
20120930	AUS	SA	1
20120930	IND	PAK	1
20121001	NZ	WI	2
20121001	SL	ENG	1
20121002	AUS	PAK	2
20121002	IND	SA	1
20121004	SL	PAK	1
20121005	AUS	WI	2
20121007	SL	WI	2
20121030	SL	NZ	0
20121210	BAN	WI	2
20121220	IND	ENG	1
20121221	SA	NZ	1
20121222	IND	ENG	2
20121223	SA	NZ	2
20121225	IND	PAK	2
20121226	SA	NZ	1
20121228	IND	PAK	1
