date_id	team_1	team_2	result
20180101	NZ	WI	0
20180103	NZ	WI	1
20180122	NZ	PAK	1
20180125	NZ	PAK	2
20180128	NZ	PAK	2
20180203	AUS	NZ	1
20180205	AFG	ZIM	1
20180206	AFG	ZIM	1
20180207	AUS	ENG	1
20180210	AUS	ENG	1
20180213	NZ	ENG	1
20180215	BAN	SL	2
20180216	NZ	AUS	2
20180218	SA	IND	2
20180218	BAN	SL	2
20180218	NZ	ENG	2
20180221	SA	IND	1
20180221	NZ	AUS	2
20180224	SA	IND	2
20180306	SL	IND	1
20180308	BAN	IND	2
20180310	SL	BAN	2
20180312	SL	IND	2
20180314	BAN	IND	2
20180316	SL	BAN	2
20180318	BAN	IND	2
20180401	PAK	WI	1
20180402	PAK	WI	1
20180403	PAK	WI	1
20180531	IWX	WI	2
20180603	AFG	BAN	1
20180605	AFG	BAN	1
20180607	AFG	BAN	1
20180612	NET	IRE	1
20180612	SCO	PAK	2
20180613	NET	IRE	1
20180613	SCO	PAK	2
20180617	IRE	SCO	1
20180617	IRE	SCO	0
20180619	NET	SCO	2
20180620	NET	SCO	2
20180627	ENG	AUS	1
20180627	IRE	IND	2
20180629	IRE	IND	2
20180701	ZIM	PAK	2
20180702	AUS	PAK	1
20180703	ENG	IND	2
20180703	ZIM	AUS	2
20180704	ZIM	PAK	2
20180705	AUS	PAK	2
20180706	ENG	IND	1
20180706	ZIM	AUS	2
20180708	ENG	IND	2
20180708	AUS	PAK	2
20180729	NET	NEP	0
20180731	WI	BAN	1
20180804	WI	BAN	2
20180805	WI	BAN	2
20180814	SL	SA	1
20180820	IRE	AFG	2
20180822	IRE	AFG	2
20180824	IRE	AFG	0
20181009	SA	ZIM	1
20181012	SA	ZIM	1
20181014	SA	ZIM	0
20181022	UAE	AUS	2
20181024	PAK	AUS	1
20181026	PAK	AUS	1
20181027	SL	ENG	2
20181028	PAK	AUS	1
20181031	PAK	NZ	1
20181102	PAK	NZ	1
20181104	IND	WI	1
20181104	PAK	NZ	1
20181106	IND	WI	1
20181111	IND	WI	1
20181117	AUS	SA	2
20181121	AUS	IND	1
20181123	AUS	IND	0
20181125	AUS	IND	2
20181217	BAN	WI	2
20181220	BAN	WI	1
20181222	BAN	WI	2
