team_1	team_2	n_1	n_2	n_total	p_1	p_2
AUS	IND	7	11	18	0.3888888888888889	0.6111111111111112
AUS	WI	3	8	11	0.2727272727272727	0.7272727272727273
AUS	PAK	6	9	15	0.4	0.6
AUS	SA	10	4	14	0.7142857142857143	0.2857142857142857
AUS	SL	6	4	10	0.6	0.4
AUS	ENG	7	5	12	0.5833333333333334	0.4166666666666667
AUS	BAN	3	4	7	0.42857142857142855	0.5714285714285714
AUS	NZ	5	4	9	0.5555555555555556	0.4444444444444444
IND	AUS	11	7	18	0.6111111111111112	0.3888888888888889
IND	SA	5	5	10	0.5	0.5
IND	SL	12	5	17	0.7058823529411765	0.29411764705882354
IND	NZ	8	5	13	0.6153846153846154	0.38461538461538464
IND	AFG	1	0	1	1.0	0.0
IND	ENG	9	6	15	0.6	0.4
IND	PAK	5	1	6	0.8333333333333334	0.16666666666666666
IND	WI	9	4	13	0.6923076923076923	0.3076923076923077
IND	BAN	9	1	10	0.9	0.1
NZ	SA	3	7	10	0.3	0.7
NZ	WI	7	4	11	0.6363636363636364	0.36363636363636365
NZ	IND	5	8	13	0.38461538461538464	0.6153846153846154
NZ	BAN	11	3	14	0.7857142857142857	0.21428571428571427
NZ	PAK	7	9	16	0.4375	0.5625
NZ	SL	5	4	9	0.5555555555555556	0.4444444444444444
NZ	ENG	6	9	15	0.4	0.6
NZ	AUS	4	5	9	0.4444444444444444	0.5555555555555556
SA	NZ	7	3	10	0.7	0.3
SA	IND	5	5	10	0.5	0.5
SA	ENG	6	9	15	0.4	0.6
SA	SL	11	5	16	0.6875	0.3125
SA	PAK	7	9	16	0.4375	0.5625
SA	AUS	4	10	14	0.2857142857142857	0.7142857142857143
SA	WI	4	5	9	0.4444444444444444	0.5555555555555556
SA	BAN	4	0	4	1.0	0.0
SA	AFG	1	0	1	1.0	0.0
PAK	ENG	4	9	13	0.3076923076923077	0.6923076923076923
PAK	SL	8	6	14	0.5714285714285714	0.42857142857142855
PAK	AUS	9	6	15	0.6	0.4
PAK	NZ	9	7	16	0.5625	0.4375
PAK	BAN	5	2	7	0.7142857142857143	0.2857142857142857
PAK	SA	9	7	16	0.5625	0.4375
PAK	IND	1	5	6	0.16666666666666666	0.8333333333333334
PAK	WI	12	2	14	0.8571428571428571	0.14285714285714285
PAK	AFG	1	0	1	1.0	0.0
PAK	SCO	2	0	2	1.0	0.0
ENG	PAK	9	4	13	0.6923076923076923	0.3076923076923077
ENG	WI	6	6	12	0.5	0.5
ENG	SA	9	6	15	0.6	0.4
ENG	AFG	2	0	2	1.0	0.0
ENG	IND	6	9	15	0.4	0.6
ENG	NZ	9	6	15	0.6	0.4
ENG	SL	7	2	9	0.7777777777777778	0.2222222222222222
ENG	AUS	5	7	12	0.4166666666666667	0.5833333333333334
WI	AUS	8	3	11	0.7272727272727273	0.2727272727272727
WI	ENG	6	6	12	0.5	0.5
WI	NZ	4	7	11	0.36363636363636365	0.6363636363636364
WI	SL	7	4	11	0.6363636363636364	0.36363636363636365
WI	BAN	5	3	8	0.625	0.375
WI	PAK	2	12	14	0.14285714285714285	0.8571428571428571
WI	IND	4	9	13	0.3076923076923077	0.6923076923076923
WI	SA	5	4	9	0.5555555555555556	0.4444444444444444
WI	AFG	4	3	7	0.5714285714285714	0.42857142857142855
SL	PAK	6	8	14	0.42857142857142855	0.5714285714285714
SL	IND	5	12	17	0.29411764705882354	0.7058823529411765
SL	SA	5	11	16	0.3125	0.6875
SL	NZ	4	5	9	0.4444444444444444	0.5555555555555556
SL	WI	4	7	11	0.36363636363636365	0.6363636363636364
SL	ENG	2	7	9	0.2222222222222222	0.7777777777777778
SL	AUS	4	6	10	0.4	0.6
SL	BAN	6	4	10	0.6	0.4
SL	AFG	1	0	1	1.0	0.0
SL	NAM	1	0	1	1.0	0.0
SCO	BAN	2	0	2	1.0	0.0
SCO	AFG	0	5	5	0.0	1.0
SCO	PAK	0	2	2	0.0	1.0
SCO	NAM	0	2	2	0.0	1.0
BAN	SCO	0	2	2	0.0	1.0
BAN	NZ	3	11	14	0.21428571428571427	0.7857142857142857
BAN	PAK	2	5	7	0.2857142857142857	0.7142857142857143
BAN	WI	3	5	8	0.375	0.625
BAN	SL	4	6	10	0.4	0.6
BAN	AFG	2	4	6	0.3333333333333333	0.6666666666666666
BAN	IND	1	9	10	0.1	0.9
BAN	AUS	4	3	7	0.5714285714285714	0.42857142857142855
BAN	SA	0	4	4	0.0	1.0
AFG	IND	0	1	1	0.0	1.0
AFG	ENG	0	2	2	0.0	1.0
AFG	SCO	5	0	5	1.0	0.0
AFG	PAK	0	1	1	0.0	1.0
AFG	BAN	4	2	6	0.6666666666666666	0.3333333333333333
AFG	SL	0	1	1	0.0	1.0
AFG	SA	0	1	1	0.0	1.0
AFG	WI	3	4	7	0.42857142857142855	0.5714285714285714
NAM	SCO	2	0	2	1.0	0.0
NAM	SL	0	1	1	0.0	1.0
