date_id	team_1	team_2	result
20190111	NZ	SL	1
20190120	BAH	SA	1
20190120	KUW	MAL	1
20190121	BAH	MAL	1
20190121	QAT	SA	1
20190122	KUW	QAT	2
20190122	MAL	SA	2
20190123	MAL	QAT	2
20190123	BAH	KUW	2
20190124	KUW	SA	2
20190124	BAH	QAT	2
20190124	QAT	SA	2
20190131	UAE	NEP	1
20190201	SA	PAK	1
20190201	UAE	NEP	2
20190203	SA	PAK	1
20190203	UAE	NEP	2
20190206	NZ	IND	1
20190206	SA	PAK	2
20190208	NZ	IND	2
20190210	NZ	IND	1
20190213	NET	SCO	1
20190213	OMA	IRE	2
20190215	OMA	NET	2
20190215	IRE	SCO	2
20190217	IRE	NET	1
20190217	OMA	SCO	2
20190221	IRE	AFG	2
20190223	IRE	AFG	2
20190224	IND	AUS	2
20190224	IRE	AFG	2
20190227	IND	AUS	2
20190305	WI	ENG	2
20190308	WI	ENG	2
20190310	WI	ENG	2
20190315	UAE	US	0
20190316	UAE	US	1
20190319	SA	SL	1
20190322	PNG	PHI	1
20190322	PNG	VAN	1
20190322	SA	SL	1
20190322	PHI	VAN	2
20190323	PNG	PHI	0
20190324	SA	SL	1
20190324	PHI	VAN	1
20190324	PNG	VAN	1
20190329	SPA	MAL	1
20190330	SPA	MAL	1
20190331	SPA	MAL	0
20190425	MEX	BEL	2
20190425	CR	PAN	2
20190426	MEX	CR	1
20190426	BEL	PAN	1
20190427	MEX	PAN	2
20190427	BEL	CR	1
20190505	ENG	PAK	1
20190511	BEL	GER	2
20190511	BEL	GER	2
20190512	BEL	GER	2
20190519	BOT	NAM	0
20190519	GHA	NIG	0
20190519	UGA	KEN	0
20190520	KEN	NIG	1
20190520	GHA	NAM	2
20190520	UGA	BOT	1
20190521	UGA	NAM	2
20190521	BOT	NIG	2
20190521	GHA	KEN	2
20190522	GHA	NIG	2
20190522	BOT	NAM	2
20190522	UGA	KEN	2
20190523	BOT	KEN	0
20190523	NAM	NIG	0
20190523	UGA	GHA	1
20190524	BOT	GHA	0
20190524	KEN	NAM	0
20190524	UGA	NIG	0
20190525	GER	ITA	2
20190525	GER	ITA	2
20190531	GUE	JER	2
20190601	GUE	JER	2
20190601	GUE	JER	2
20190615	GUE	JER	2
20190615	ITA	NOR	1
20190615	GUE	GER	2
20190616	GER	ITA	2
20190616	DEN	JER	2
20190616	GUE	ITA	2
20190616	JER	NOR	1
20190617	DEN	NOR	1
20190618	GUE	DEN	0
20190618	GER	NOR	0
20190618	DEN	ITA	0
20190618	GER	JER	0
20190619	GUE	NOR	1
20190619	ITA	JER	2
20190619	DEN	GER	2
20190620	GUE	DEN	1
20190620	GER	NOR	1
20190620	DEN	ITA	1
20190620	GER	JER	1
20190623	NET	ZIM	1
20190624	MAL	THA	1
20190625	MAL	MAL	1
20190625	NET	ZIM	2
20190626	MAL	THA	1
20190627	MAL	THA	1
20190628	MAL	MAL	0
20190629	MAL	THA	2
20190704	QAT	KUW	2
20190705	QAT	KUW	1
20190706	QAT	KUW	1
20190708	SAM	PNG	2
20190709	PNG	VAN	1
20190709	SAM	VAN	1
20190710	IRE	ZIM	0
20190710	SAM	PNG	2
20190712	IRE	ZIM	1
20190712	SAM	VAN	2
20190712	PNG	VAN	1
20190713	DEN	FIN	1
20190713	MAL	NEP	2
20190713	DEN	FIN	1
20190713	PNG	VAN	1
20190714	MAL	NEP	2
20190714	IRE	ZIM	2
20190722	SIN	QAT	1
20190722	KUW	MAL	2
20190723	NEP	QAT	2
20190723	SIN	KUW	0
20190724	MAL	NEP	2
20190726	KUW	QAT	1
20190726	SIN	MAL	1
20190727	KUW	NEP	2
20190727	MAL	QAT	2
20190728	SIN	NEP	1
20190803	NET	UAE	2
20190803	WI	IND	2
20190804	WI	IND	2
20190805	NET	UAE	2
20190806	NET	UAE	2
20190806	WI	IND	2
20190808	NET	UAE	2
20190817	FIN	SPA	1
20190817	FIN	SPA	2
20190818	BER	US	1
20190818	CAN	CI	1
20190818	FIN	SPA	2
20190819	NAM	BOT	1
20190819	BER	CAN	0
20190819	CI	US	2
20190820	NAM	BOT	1
20190821	BER	CI	1
20190821	CAN	US	1
20190822	NAM	BOT	1
20190822	CAN	CI	1
20190822	BER	US	1
20190823	NAM	BOT	1
20190824	CI	US	2
20190824	BER	CAN	2
20190825	CAN	US	1
20190825	BER	CI	1
20190829	ROM	AUS	1
20190829	LUX	TUR	1
20190829	ROM	TUR	1
20190830	AUS	CR	1
20190830	ROM	LUX	1
20190830	CR	TUR	1
20190831	AUS	LUX	1
20190831	ROM	CR	2
20190831	AUS	TUR	1
20190901	SL	NZ	2
20190901	CR	LUX	1
20190901	AUS	CR	1
20190903	SL	NZ	2
20190906	SL	NZ	1
20190913	BAN	ZIM	1
20190914	AFG	ZIM	1
20190915	IND	SA	0
20190915	IRE	NET	0
20190915	BAN	AFG	2
20190916	NET	SCO	2
20190917	IRE	SCO	1
20190918	IND	SA	1
20190918	BAN	ZIM	1
20190918	IRE	NET	2
20190919	NET	SCO	2
20190920	AFG	ZIM	2
20190920	IRE	SCO	1
20190921	BAN	AFG	1
20190922	IND	SA	2
20190924	BAN	AFG	0
20190927	NEP	ZIM	2
20190928	SIN	NEP	2
20190929	MAL	VAN	2
20190929	SIN	ZIM	1
20191001	NEP	ZIM	2
20191002	MAL	VAN	2
20191002	MAL	VAN	1
20191002	SIN	NEP	0
20191003	ARG	MEX	1
20191003	BRA	CHI	1
20191003	PER	BRA	1
20191003	MAL	VAN	2
20191003	SIN	ZIM	2
20191004	CHI	MEX	1
20191004	MAL	VAN	1
20191004	PER	ARG	2
20191004	ARG	BRA	1
20191005	OMA	HK	1
20191005	PAK	SL	2
20191005	IRE	NET	1
20191005	ARG	CHI	1
20191005	PER	MEX	2
20191005	PER	CHI	1
20191005	BRA	MEX	2
20191006	OMA	IRE	1
20191006	HK	NEP	2
20191006	ARG	MEX	1
20191007	PAK	SL	2
20191007	NET	NEP	2
20191007	HK	IRE	2
20191009	QAT	JER	1
20191009	PAK	SL	2
20191009	IRE	NEP	1
20191009	OMA	NET	1
20191010	QAT	JER	1
20191010	HK	NET	2
20191010	OMA	NEP	1
20191011	QAT	JER	1
20191014	BUL	SER	1
20191015	GRE	SER	1
20191016	GRE	BUL	1
20191018	MAL	CR	2
20191018	SCO	SIN	2
20191018	HK	IRE	2
20191018	KEN	NET	2
20191018	GRE	BUL	2
20191018	UAE	OMA	2
20191019	BER	PNG	2
20191019	JER	NIG	1
20191019	NAM	NET	2
20191019	KEN	SCO	2
20191019	UAE	IRE	1
20191020	MAL	CR	2
20191020	NAM	PNG	2
20191020	CAN	JER	1
20191020	BER	SIN	2
20191020	HK	OMA	2
20191021	PNG	SCO	2
20191021	UAE	HK	1
20191021	IRE	OMA	1
20191021	BER	KEN	2
20191021	CAN	NIG	1
20191022	NAM	SCO	1
20191022	NET	SIN	1
20191022	UAE	JER	2
20191023	BER	NAM	2
20191023	NIG	OMA	2
20191023	KEN	SIN	1
20191023	CAN	IRE	1
20191023	HK	JER	1
20191024	NET	PNG	2
20191024	UAE	NIG	1
20191024	CAN	HK	2
20191024	BER	SCO	2
20191025	SPA	POR	1
20191025	PNG	SIN	1
20191025	IRE	JER	1
20191025	KEN	NAM	2
20191025	CAN	OMA	2
20191026	GIB	POR	2
20191026	SPA	GIB	1
20191026	SPA	POR	1
20191026	IRE	NIG	1
20191026	BER	NET	2
20191026	NAM	SIN	1
20191027	AUS	SL	1
20191027	GIB	POR	2
20191027	SPA	GIB	1
20191027	KEN	PNG	2
20191027	HK	NIG	1
20191027	JER	OMA	1
20191027	SCO	NET	2
20191027	UAE	CAN	1
20191029	UAE	NET	2
20191029	NAM	OMA	1
20191030	AUS	SL	1
20191030	UAE	SCO	2
20191030	HK	OMA	2
20191031	OMA	SCO	2
20191101	NZ	ENG	2
20191101	AUS	SL	1
20191101	IRE	NET	2
20191101	NAM	PNG	2
20191102	IRE	NAM	1
20191102	NET	PNG	1
20191103	AUS	PAK	0
20191103	IND	BAN	2
20191103	NZ	ENG	1
20191105	AUS	PAK	1
20191105	NZ	ENG	1
20191106	MAL	MOZ	1
20191106	MAL	MOZ	1
20191107	IND	BAN	1
20191107	MAL	MOZ	1
20191107	MAL	MOZ	1
20191108	AUS	PAK	1
20191108	NZ	ENG	2
20191109	MAL	MOZ	1
20191109	MAL	MOZ	0
20191110	IND	BAN	1
20191110	NZ	ENG	2
20191110	MAL	MOZ	2
20191114	AFG	WI	2
20191116	AFG	WI	1
20191117	AFG	WI	1
20191205	NEP	BHU	1
20191206	IND	WI	1
20191206	NEP	MAL	1
20191207	BHU	MAL	2
20191208	IND	WI	2
20191209	NEP	MAL	1
20191211	IND	WI	1
