date_id	team_1	team_2	winner
20120201	AUS	IND	1
20120203	AUS	IND	2
20120211	NZ	ZIM	1
20120214	NZ	ZIM	1
20120217	NZ	SA	1
20120219	NZ	SA	2
20120222	KEN	IRE	2
20120222	NZ	SA	2
20120223	PAK	ENG	1
20120223	KEN	IRE	2
20120224	KEN	IRE	2
20120225	PAK	ENG	2
20120227	PAK	ENG	2
20120313	CAN	NET	2
20120313	KEN	SCO	2
20120314	IRE	KEN	1
20120314	AFG	NET	1
20120318	AFG	CAN	1
20120318	IRE	SCO	1
20120322	CAN	IRE	2
20120322	NET	SCO	1
20120323	IRE	NET	1
20120323	CAN	SCO	2
20120324	AFG	IRE	2
20120327	WI	AUS	2
20120330	SA	IND	1
20120330	WI	AUS	1
20120601	SL	PAK	1
20120603	SL	PAK	2
20120624	ENG	WI	1
20120630	WI	NZ	1
20120701	WI	NZ	1
20120718	IRE	BAN	2
20120720	IRE	BAN	2
20120721	IRE	BAN	2
20120724	BAN	SCO	2
20120725	NET	BAN	2
20120726	NET	BAN	1
20120807	SL	IND	2
20120905	PAK	AUS	1
20120907	PAK	AUS	1
20120908	ENG	SA	2
20120908	IND	NZ	0
20120910	ENG	SA	0
20120910	PAK	AUS	2
20120911	IND	NZ	2
20120912	ENG	SA	1
20120918	SL	ZIM	1
20120919	AUS	IRE	1
20120919	AFG	IND	2
20120920	SA	ZIM	1
20120921	BAN	NZ	2
20120921	AFG	ENG	2
20120922	SL	SA	2
20120922	AUS	WI	1
20120923	NZ	PAK	2
20120923	ENG	IND	2
20120924	IRE	WI	0
20120925	BAN	PAK	2
20120927	SL	NZ	1
20120927	ENG	WI	2
20120928	PAK	SA	1
20120928	AUS	IND	1
20120929	ENG	NZ	1
20120929	SL	WI	1
20120930	AUS	SA	1
20120930	IND	PAK	1
20121001	NZ	WI	2
20121001	SL	ENG	1
20121002	AUS	PAK	2
20121002	IND	SA	1
20121004	SL	PAK	1
20121005	AUS	WI	2
20121007	SL	WI	2
20121030	SL	NZ	0
20121210	BAN	WI	2
20121220	IND	ENG	1
20121221	SA	NZ	1
20121222	IND	ENG	2
20121223	SA	NZ	2
20121225	IND	PAK	2
20121226	SA	NZ	1
20121228	IND	PAK	1
20130126	AUS	SL	2
20130128	AUS	SL	2
20130209	NZ	ENG	2
20130212	NZ	ENG	1
20130213	AUS	WI	2
20130215	NZ	ENG	2
20130301	SA	PAK	0
20130302	WI	ZIM	1
20130303	AFG	SCO	1
20130303	SA	PAK	2
20130303	WI	ZIM	1
20130304	AFG	SCO	1
20130315	CAN	KEN	1
20130316	CAN	KEN	2
20130331	SL	BAN	1
20130419	NET	KEN	2
20130420	NET	KEN	2
20130511	ZIM	BAN	1
20130512	ZIM	BAN	2
20130625	ENG	NZ	2
20130627	ENG	NZ	0
20130704	SCO	KEN	1
20130705	SCO	KEN	1
20130727	WI	PAK	2
20130728	WI	PAK	2
20130802	SL	SA	2
20130804	SL	SA	2
20130806	SL	SA	1
20130823	ZIM	PAK	2
20130824	ZIM	PAK	2
20130829	ENG	AUS	2
20130831	ENG	AUS	1
20130930	AFG	KEN	1
20131010	IND	AUS	1
20131011	AFG	KEN	2
20131106	BAN	NZ	2
20131113	PAK	SA	2
20131115	AFG	NET	2
20131115	PAK	SA	2
20131116	AFG	SCO	1
20131116	CAN	IRE	2
20131119	SL	NZ	0
20131119	KEN	SCO	1
20131120	SA	PAK	1
20131121	SL	NZ	1
20131122	SA	PAK	2
20131122	NET	SCO	2
20131123	KEN	NET	2
20131124	AFG	KEN	1
20131126	CAN	KEN	2
20131128	NET	SCO	1
20131130	AFG	IRE	2
20131208	AFG	PAK	2
20131211	PAK	SL	1
20131213	PAK	SL	2
20140111	NZ	WI	1
20140115	NZ	WI	1
20140129	AUS	ENG	1
20140131	AUS	ENG	1
20140202	AUS	ENG	1
20140212	BAN	SL	2
20140214	BAN	SL	2
20140219	WI	IRE	2
20140221	WI	IRE	1
20140309	SA	AUS	0
20140309	WI	ENG	1
20140311	WI	ENG	1
20140312	SA	AUS	2
20140313	WI	ENG	2
20140314	SA	AUS	2
20140316	BAN	AFG	1
20140316	HK	NEP	2
20140317	IRE	ZIM	1
20140317	NET	UAE	1
20140318	AFG	HK	1
20140318	BAN	NEP	1
20140319	NET	ZIM	2
20140319	IRE	UAE	1
20140320	AFG	NEP	2
20140320	BAN	HK	2
20140320	UAE	ZIM	2
20140321	IRE	NET	2
20140321	IND	PAK	1
20140322	SA	SL	2
20140322	ENG	NZ	2
20140323	AUS	PAK	2
20140323	IND	WI	1
20140324	NZ	SA	2
20140324	NET	SL	2
20140325	BAN	WI	2
20140327	NET	SA	2
20140327	ENG	SL	1
20140328	AUS	WI	2
20140328	BAN	IND	2
20140329	NET	NZ	2
20140329	ENG	SA	2
20140330	BAN	PAK	2
20140330	AUS	IND	2
20140331	ENG	NET	2
20140331	NZ	SL	2
20140401	BAN	AUS	2
20140401	PAK	WI	2
20140403	SL	WI	1
20140404	IND	SA	1
20140406	IND	SL	2
20140520	ENG	SL	2
20140705	WI	NZ	2
20140706	WI	NZ	1
20140827	WI	BAN	0
20140907	ENG	IND	1
20141005	PAK	AUS	2
20141105	AUS	SA	2
20141107	AUS	SA	1
20141109	AUS	SA	1
20141119	HK	NEP	0
20141121	HK	NEP	0
20141122	HK	NEP	0
20141124	HK	NEP	1
20141204	PAK	NZ	1
20141205	PAK	NZ	2
20150109	SA	WI	2
20150111	SA	WI	2
20150114	SA	WI	1
20150424	BAN	PAK	1
20150522	PAK	ZIM	1
20150524	PAK	ZIM	1
20150618	IRE	SCO	2
20150619	IRE	SCO	0
20150620	IRE	SCO	2
20150621	IRE	SCO	0
20150623	ENG	NZ	1
20150630	NET	NEP	1
20150701	NET	NEP	1
20150702	NET	NEP	1
20150703	NET	NEP	2
20150705	BAN	SA	2
20150707	BAN	SA	2
20150709	SCO	UAE	1
20150709	AFG	NET	1
20150710	AFG	UAE	1
20150711	SCO	NET	2
20150712	NET	UAE	1
20150712	SCO	AFG	2
20150713	IRE	NEP	1
20150713	HK	PNG	0
20150715	IRE	PNG	2
20150715	HK	NEP	1
20150717	ZIM	IND	2
20150717	NEP	PNG	2
20150717	IRE	HK	2
20150719	ZIM	IND	1
20150721	AFG	HK	2
20150723	AFG	PNG	1
20150725	HK	SCO	2
20150725	AFG	OMA	1
20150725	IRE	NET	2
20150726	IRE	HK	0
20150726	NET	SCO	0
20150730	SL	PAK	2
20150801	SL	PAK	2
20150809	ZIM	NZ	2
20150814	SA	NZ	1
20150816	SA	NZ	2
20150831	ENG	AUS	1
20150927	ZIM	PAK	2
20150929	ZIM	PAK	2
20151002	IND	SA	2
20151005	IND	SA	2
