match_no	team_1	team_2	date_id	winner
13	SA	AUS	20211023	2
14	ENG	WI	20211023	1
15	SL	BAN	20211024	1
16	IND	PAK	20211024	2
17	AFG	SCO	20211025	1
18	SA	WI	20211026	1
19	PAK	NZ	20211026	1
20	ENG	BAN	20211027
21	SCO	NAM	20211027
22	AUS	SL	20211028
23	WI	BAN	20211029
24	AFG	PAK	20211029
25	SA	SL	20211030
26	ENG	AUS	20211030
27	AFG	NAM	20211031
28	IND	NZ	20211031
29	ENG	SL	20211101
30	SA	BAN	20211102
31	PAK	NAM	20211102
32	NZ	SCO	20211103
33	IND	AFG	20211103
34	AUS	BAN	20211104
35	WI	SL	20211104
36	NZ	NAM	20211105
37	IND	SCO	20211105
38	AUS	WI	20211106
39	ENG	SA	20211106
40	NZ	AFG	20211107
41	PAK	SCO	20211107
42	IND	NAM	20211108
