date_id	team_1	team_2	winner
20210211	PAK	SA	1
20210213	PAK	SA	2
20210214	PAK	SA	1
20210222	NZ	AUS	1
20210225	NZ	AUS	1
20210303	WI	SL	1
20210303	NZ	AUS	2
20210305	WI	SL	2
20210305	NZ	AUS	2
20210307	WI	SL	1
20210307	NZ	AUS	1
20210312	IND	ENG	2
20210314	IND	ENG	1
20210316	IND	ENG	2
20210317	AFG	ZIM	1
20210318	IND	ENG	1
20210319	AFG	ZIM	1
20210320	AFG	ZIM	1
20210320	IND	ENG	1
20210328	NZ	BAN	1
20210330	NZ	BAN	1
20210401	NZ	BAN	1
20210403	NAM	UGA	1
20210405	NAM	UGA	1
20210405	NAM	UGA	1
20210410	SA	PAK	2
20210412	SA	PAK	1
20210414	SA	PAK	2
20210416	SA	PAK	2
20210417	NEP	NET	1
20210418	MAL	NET	2
20210419	NEP	MAL	1
20210420	NEP	NET	2
20210421	ZIM	PAK	2
20210421	MAL	NET	0
20210422	NEP	MAL	1
20210423	ZIM	PAK	1
20210424	NEP	NET	1
20210425	ZIM	PAK	2
20210521	CR	LUX	1
20210521	AUS	LUX	1
20210522	CR	AUS	2
20210522	CR	LUX	2
20210523	AUS	LUX	2
20210523	CR	AUS	2
20210623	ENG	SL	1
20210624	BUL	SER	1
20210624	ENG	SL	1
20210624	GRE	ROM	2
20210625	GRE	SER	1
20210625	BUL	ROM	2
20210625	ROM	SER	1
20210626	WI	SA	1
20210626	ENG	SL	1
20210626	BUL	GRE	1
20210626	ROM	SER	1
20210626	BUL	GRE	0
20210627	WI	SA	2
20210627	BUL	ROM	2
20210629	WI	SA	2
20210701	WI	SA	1
20210703	WI	SA	2
20210708	MAL	BEL	1
20210708	MAL	BEL	2
20210709	WI	AUS	1
20210709	MAL	BEL	2
20210710	WI	AUS	1
20210710	MAL	BEL	1
20210710	MAL	BEL	2
20210712	WI	AUS	1
20210714	WI	AUS	2
20210716	WI	AUS	1
20210717	ENG	PAK	2
20210718	ENG	PAK	1
20210719	IRE	SA	2
20210720	ENG	PAK	1
20210722	ZIM	BAN	2
20210722	IRE	SA	2
20210723	ZIM	BAN	1
20210724	BEL	AUS	1
20210724	BEL	AUS	1
20210724	IRE	SA	2
20210725	SL	IND	2
20210725	BEL	AUS	2
20210725	ZIM	BAN	2
20210728	WI	PAK	0
20210728	SL	IND	1
20210729	SL	IND	1
20210731	WI	PAK	2
20210801	WI	PAK	0
20210803	BAN	AUS	1
20210803	WI	PAK	0
20210804	BAN	AUS	1
20210805	GER	NOR	1
20210805	FRA	NOR	1
20210806	BAN	AUS	1
20210806	GER	FRA	1
20210807	BAN	AUS	2
20210807	GER	FRA	1
20210807	FRA	NOR	2
20210808	GER	NOR	2
20210808	GER	NOR	1
20210809	BAN	AUS	1
20210814	DEN	SWE	1
20210814	DEN	SWE	2
20210815	DEN	SWE	1
20210818	RWA	GHA	1
20210818	RWA	GHA	2
20210819	POR	MAL	1
20210820	GIB	MAL	2
20210820	RWA	GHA	1
20210820	RWA	GHA	2
20210821	FIN	SWE	1
20210821	FIN	SWE	1
20210821	POR	GIB	1
20210821	MAL	GIB	1
20210821	RWA	GHA	2
20210822	FIN	SWE	2
20210822	FIN	SWE	2
20210822	POR	GIB	1
20210822	POR	MAL	1
20210827	IRE	ZIM	2
20210829	IRE	ZIM	1
20210901	BAN	NZ	1
20210901	IRE	ZIM	1
20210902	BUL	LUX	2
20210902	CR	HUN	2
20210902	LUX	MAL	1
20210902	IRE	ZIM	1
20210903	BAN	NZ	1
20210903	ROM	CR	1
20210903	BUL	MAL	2
20210903	ROM	HUN	1
20210904	IRE	ZIM	2
20210904	BUL	CR	2
20210904	HUN	LUX	2
20210904	ROM	MAL	1
20210905	BAN	NZ	2
20210905	ROM	LUX	1
20210905	HUN	MAL	1
20210908	BAN	NZ	1
20210910	SPA	GER	2
20210910	SL	SA	2
20210910	UGA	KEN	0
20210910	UGA	KEN	2
20210910	BAN	NZ	2
20210911	SPA	GER	1
20210911	SPA	GER	1
20210911	KEN	NIG	1
20210911	UGA	NIG	1
20210912	SL	SA	2
20210913	UGA	NIG	1
20210913	KEN	NIG	1
20210914	SL	SA	2
20210915	SCO	ZIM	1
20210915	UGA	KEN	1
20210915	UGA	NIG	1
20210916	KEN	NIG	2
20210917	SCO	ZIM	2
20210917	UGA	KEN	1
20210919	SCO	ZIM	2
20211005	CYP	EST	1
20211005	UAE	NAM	2
20211005	CYP	EST	1
20211006	CYP	IOM	2
20211006	EST	IOM	2
20211007	UAE	IRE	2
20211007	CYP	IOM	2
20211007	CYP	EST	1
20211008	UAE	IRE	1
20211008	PNG	SCO	2
20211008	CYP	EST	1
20211008	EST	IOM	2
20211009	NAM	SCO	1
20211010	UAE	IRE	1
20211010	NAM	PNG	1
20211015	GER	JER	2
20211015	DEN	ITA	2
20211016	RWA	GHA	2
20211016	LES	SWA	2
20211016	DEN	GER	2
20211016	GHA	SEY	1
20211016	ITA	JER	2
20211016	MAL	UGA	2
20211017	OMA	PNG	1
20211017	BAN	SCO	2
20211017	DEN	JER	2
20211017	LES	SEY	2
20211017	GER	ITA	1
20211017	MAL	SWA	1
20211017	GHA	LES	1
20211017	RWA	UGA	2
20211018	IRE	NET	1
20211018	NAM	SL	2
20211019	NIG	SL	2
20211019	PNG	SCO	2
20211019	BAN	OMA	1
20211019	DEN	ITA	2
20211019	GER	JER	2
20211019	GHA	MAL	1
20211019	LES	UGA	2
20211019	RWA	SEY	1
20211019	SWA	UGA	2
20211020	NIG	SL	1
20211020	NAM	NET	1
20211020	IRE	SL	2
20211020	ITA	JER	2
20211020	DEN	GER	2
20211020	MAL	SEY	1
20211020	GHA	SWA	1
20211020	SEY	SWA	1
20211021	MAL	GIB	1
20211021	NIG	SL	1
20211021	BAN	PNG	1
20211021	OMA	SCO	2
20211021	GER	ITA	2
20211021	DEN	JER	2
20211021	RWA	LES	1
20211021	GHA	UGA	2
20211022	GIB	SWI	2
20211022	BUL	SWI	2
20211022	IRE	NAM	2
20211022	NET	SL	2
20211022	RWA	SWA	1
20211022	LES	MAL	2
20211022	RWA	MAL	2
20211022	SEY	UGA	2
20211023	QAT	BAH	2
20211023	MAL	SA	2
20211023	BUL	GIB	2
20211023	NIG	SL	1
20211023	MAL	SWI	2
20211023	MAL	BUL	1
20211023	AUS	SA	1
20211023	ENG	WI	1
20211024	BAH	KUW	2
20211024	QAT	MAL	1
20211024	NIG	SL	1
20211024	BUL	GIB	1
20211024	MAL	SWI	1
20211024	BAN	SL	2
20211024	IND	PAK	2
20211025	MAL	GIB	0
20211025	MAL	GIB	0
20211025	KUW	SA	2
20211025	AFG	SCO	1
20211026	NIG	SL	1
20211026	SA	WI	1
20211026	NZ	PAK	2
20211027	BAH	MAL	1
20211027	QAT	SA	1
20211027	BAN	ENG	2
20211027	NAM	SCO	1
