date_id	team_1	team_2	result
20130126	AUS	SL	2
20130128	AUS	SL	2
20130209	NZ	ENG	2
20130212	NZ	ENG	1
20130213	AUS	WI	2
20130215	NZ	ENG	2
20130301	SA	PAK	0
20130302	WI	ZIM	1
20130303	AFG	SCO	1
20130303	SA	PAK	2
20130303	WI	ZIM	1
20130304	AFG	SCO	1
20130315	CAN	KEN	1
20130316	CAN	KEN	2
20130331	SL	BAN	1
20130419	NET	KEN	2
20130420	NET	KEN	2
20130511	ZIM	BAN	1
20130512	ZIM	BAN	2
20130625	ENG	NZ	2
20130627	ENG	NZ	0
20130704	SCO	KEN	1
20130705	SCO	KEN	1
20130727	WI	PAK	2
20130728	WI	PAK	2
20130802	SL	SA	2
20130804	SL	SA	2
20130806	SL	SA	1
20130823	ZIM	PAK	2
20130824	ZIM	PAK	2
20130829	ENG	AUS	2
20130831	ENG	AUS	1
20130930	AFG	KEN	1
20131010	IND	AUS	1
20131011	AFG	KEN	2
20131106	BAN	NZ	2
20131113	PAK	SA	2
20131115	AFG	NET	2
20131115	PAK	SA	2
20131116	AFG	SCO	1
20131116	CAN	IRE	2
20131119	SL	NZ	0
20131119	KEN	SCO	1
20131120	SA	PAK	1
20131121	SL	NZ	1
20131122	SA	PAK	2
20131122	NET	SCO	2
20131123	KEN	NET	2
20131124	AFG	KEN	1
20131126	CAN	KEN	2
20131128	NET	SCO	1
20131130	AFG	IRE	2
20131208	AFG	PAK	2
20131211	PAK	SL	1
20131213	PAK	SL	2
